事件,时间,实体1,触发词,实体2,原句
外交访问,2022年8月2日至8月3日,佩洛西,访问,台湾,第52任美国众议院议长南希·佩洛西于2022年8月2日至8月3日率团访问台湾
外交访问,台北时间8月2日晚间,佩洛西访问团,抵达,台北松山机场,访问团于台北时间8月2日晚间抵达台北松山机场，次日造访立法院、总统府、白色恐怖景美纪念园区等地
外交访问,台北时间8月2日晚间,佩洛西访问团,造访,立法院、总统府、白色恐怖景美纪念园区等地,访问团于台北时间8月2日晚间抵达台北松山机场，次日造访立法院、总统府、白色恐怖景美纪念园区等地
派遣军舰,访问前后,美国政府,派出,里根号航空母舰，的黎波里号两栖突击舰,美国政府则在访问前后派里根号航空母舰及的黎波里号两栖突击舰等到台湾东部与周边的菲律宾海护卫
外交抗议,佩洛西访问期间,中国大陆,抗议,佩洛西访问台湾,佩洛西抵台后，中国大陆多个官方单位相继对此发表声明表达抗议
外交警告,佩洛西抵台前,中华人民共和国,警告,美国政府,佩洛西抵台前，中华人民共和国外交部、国防部官员多次警告美国政府
军事演习,None,解放军,演习,多个海域,解放军在多个海域演习示威
外交抗议,佩洛西抵台后,中国大陆,发表声明,抗议,佩洛西抵台后，中国大陆多个官方单位相继对此发表声明表达抗议
外交访问,2022年1月底,赖清德副总统，驻美国代表处萧美琴大使,会晤,众议院议长佩洛西,2022年1月底，曾于2020年总统选举获胜后访问美国会晤众议院议长佩洛西的赖清德副总统及驻美国代表处萧美琴大使于出席洪都拉斯总统就职典礼回程过境旧金山（佩洛西的选区）时与她视频会晤半小时
政治反对,7月下旬,美国总统乔·拜登,表示,军方认为现在这不是一个好主意,"7月下旬，美国总统乔·拜登在回答有关佩洛西当时传闻可能会访问台湾的问题时表示”军方认为现在这不是一个好主意"""
政治支持,7月27日,行政院院长苏贞昌,表示,非常感谢佩洛西长年以来对台湾非常支持与友善,行政院院长苏贞昌于7月27日表示非常感谢佩洛西长年以来对台湾非常支持与友善，对于任何国外友好贵宾访台都非常欢迎，政府都会做最好的安排
政治反对,7月28日,习近平,呼吁,拜登劝阻佩洛西访台,拜登于2022年7月28日与习近平进行了两个多小时的通话。习近平呼吁拜登劝阻佩洛西访台。
政治反对,7月28日,美国军方,表态,不建议佩洛西访台,美国军方虽然表态不建议
外交访问,7月20日,佩洛西,致电,中华民国驻美代表萧美琴,佩洛西7月20日曾主动致电中华民国驻美代表萧美琴
反对,7月22日,美国国家安全委员会印太事务协调员库尔特·坎贝尔,称,美国国防部长奥斯汀要求佩洛西改变计划,美国国家安全委员会印太事务协调员库尔特·坎贝尔也在7月22日晚与萧美琴通话称，美国国防部长奥斯汀22日当天向佩洛西简报
外交访问,2022年8月2日上午8时,佩洛西,会面,蔡英文总统,佩洛西预订星期二晚间22时30分抵达台北松山机场，停留一晚后星期三上午8时与蔡英文总统会面，上午10时离开台湾。
外交访问,2022年8月2日上午8时,中华民国外交部部长吴钊燮,接机,佩洛西,8月2日晚上10时44分，佩洛西一行座机降落台北松山机场。中华民国外交部部长吴钊燮接机。
警力保护,8月2日下午,台北市警方,部署警力,佩洛西,8月2日下午开始，台北市警方在台北君悦酒店部署警力。警政署在松山基地指挥部周围布署大批警力。
交通管制,8月2日下午,台北市警方,交通管制,民权东路沿线各路口，台北君悦酒店,同时在指挥部对面隔离、划定采访区域，民权东路沿线各路口于18时许早已安排有警力进行交通管制。当晚，台北市警方证实，美国众议院议长佩洛西乘搭的航班，将于今晚22时降落于台北松山机场，车队将直接前往下榻台北君悦酒店，警方启动“鸿宾勤务”将沿途交通管制，8月1日出动400名警力，预计8月2日行程出动700名警力。
飞机航行,8月2日下午15时42分,佩洛西,起飞,吉隆坡,佩洛西此前搭乘的C-40C专机（呼号SPAR19）于8月2日下午15时42分从吉隆坡起飞
飞机航行,8月2日下午,佩洛西,飞行穿过,加里曼丹,专机航线特地先往东飞行穿过加里曼丹岛
飞机航行,8月2日下午,佩洛西,北上,菲律宾海,再转北沿着菲律宾东侧的菲律宾海北上
外交访问,2022年8月3日上午,佩洛西,前往,立法院,8月3日上午，佩洛西一行在内湖的美国在台协会台北办事处举行早餐会后，前往立法院拜会
外交访问,2022年8月3日上午,佩洛西,拜会,立法院副院长蔡其昌,由立法院副院长蔡其昌接见。
外交访问,2022年8月3日上午,蔡英文,接见,佩洛西访问团,稍后，蔡英文在总统府接见佩洛西访问团，颁授佩洛西“特种大绶卿云勋章”。
外交合作,2022年8月3日上午,佩洛西,接受,蔡英文颁授的勋章,稍后，蔡英文在总统府接见佩洛西访问团，颁授佩洛西“特种大绶卿云勋章”。
媒体互动,2022年8月3日下午,佩洛西,举行,媒体互动会,之后举行媒体互动会，开放台湾中央通讯社、美国彭博新闻和日本朝日新闻等三家媒体发问。
发表声明,2022年8月6日,佩洛西,发推特视频,纪录此次“历史性”的行程,佩洛西本人也发出1分半左右的推特视频，以纪录此次“历史性”的行程
发表声明,2022年8月6日,佩洛西,发表声明,美国与台湾人民团结，中国无法阻止世界各地的领袖造访台湾,佩洛西离台后，众议院议长网站声明，此次访问是她们在印太地区更广泛旅行的一环，重点在关注安全、繁荣和治理，台湾在这三方面都是全球领导者。此时此刻，美国与台湾人民团结一致比以往任何时刻都更加重要，“中国无法阻止世界各地的领袖造访台湾”
飞机航行,8月3日傍晚近18时,佩洛西,起飞,台湾,飞机约在傍晚近18时左右起飞。飞机自台湾起飞后
飞机航行,8月3日,佩洛西,飞行,日本宫古岛空域,直线往东朝日本宫古岛空域方向飞行
飞机航行,8月3日,佩洛西,绕经,冲绳本岛,绕经冲绳本岛后，往韩国首尔飞去。佩洛西于韩国标准时3日夜间21时26分抵达京畿道乌山空军基地。
飞机航行,8月3日,佩洛西,飞去,韩国首尔,绕经冲绳本岛后，往韩国首尔飞去。佩洛西于韩国标准时3日夜间21时26分抵达京畿道乌山空军基地。
飞机航行,8月3日夜间21时26分,佩洛西,抵达,京畿道乌山空军基地,绕经冲绳本岛后，往韩国首尔飞去。佩洛西于韩国标准时3日夜间21时26分抵达京畿道乌山空军基地。
军事演习,佩洛西访问台湾前后,中国大陆、台湾、美国、日本,在台湾周边进行,军事操演,在佩洛西访问台湾前后，中国大陆、台湾及美国与日本各自在台湾周边进行军事操演。
民众支持,2022年8月2日晚9时起,台北101,点灯,对佩洛西的访问表达欢迎，点灯内容包含“坚定支持台湾”、“美台友谊永固”等,8月2日晚9时起，台北101点灯对佩洛西的访问表达欢迎，点灯内容包含“坚定支持台湾”、“美台友谊永固”等。
民众支持,佩洛西访台期间,大批人群,观赏,飞机抵台,并有大批人潮在松山机场附近观赏飞机抵台
